SRC_exhaustive Query: Large,Depth,BBoxes,Data Size
"[6, 12, 10, 16]",6,"[0, 0, 2, 2]",4
"[6, 0, 10, 4]",1,"[4, 0, 12, 16]",128
"[4, 8, 8, 12]",6,"[4, 4, 6, 6]",4
"[7, 6, 11, 10]",2,"[4, 4, 12, 12]",64
"[12, 4, 16, 8]",6,"[8, 0, 10, 2]",4
"[7, 5, 11, 9]",2,"[4, 4, 12, 12]",64
"[9, 3, 13, 7]",1,"[8, 0, 16, 16]",128
"[8, 2, 12, 6]",1,"[4, 0, 12, 16]",128
"[4, 2, 8, 6]",1,"[4, 0, 12, 16]",128
"[12, 1, 16, 5]",1,"[8, 0, 16, 16]",128
"[9, 12, 13, 16]",6,"[0, 0, 2, 2]",4
"[4, 8, 8, 12]",6,"[4, 4, 6, 6]",4
"[11, 12, 15, 16]",6,"[0, 0, 2, 2]",4
"[9, 2, 13, 6]",1,"[8, 0, 16, 16]",128
"[4, 1, 8, 5]",1,"[4, 0, 12, 16]",128
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
"[10, 5, 14, 9]",6,"[10, 4, 12, 6]",4
"[7, 8, 11, 12]",6,"[4, 4, 6, 6]",4
"[1, 5, 5, 9]",0,"[0, 0, 16, 16]",256
"[6, 5, 10, 9]",6,"[6, 4, 8, 6]",4
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[3, 8, 7, 12]",0,"[0, 0, 16, 16]",256
"[7, 7, 11, 11]",2,"[4, 4, 12, 12]",64
"[8, 4, 12, 8]",6,"[4, 0, 6, 2]",4
"[0, 12, 4, 16]",0,"[0, 0, 16, 16]",256
"[8, 0, 12, 4]",1,"[4, 0, 12, 16]",128
"[1, 11, 5, 15]",0,"[0, 0, 16, 16]",256
"[6, 11, 10, 15]",6,"[6, 8, 8, 10]",4
"[12, 10, 16, 14]",6,"[8, 0, 10, 2]",4
"[10, 0, 14, 4]",1,"[8, 0, 16, 16]",128
"[9, 7, 13, 11]",2,"[8, 4, 16, 12]",64
"[5, 3, 9, 7]",1,"[4, 0, 12, 16]",128
"[11, 5, 15, 9]",2,"[8, 4, 16, 12]",64
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
"[3, 9, 7, 13]",0,"[0, 0, 16, 16]",256
"[3, 3, 7, 7]",0,"[0, 0, 16, 16]",256
"[12, 2, 16, 6]",1,"[8, 0, 16, 16]",128
"[12, 8, 16, 12]",6,"[8, 0, 10, 2]",4
"[7, 1, 11, 5]",1,"[4, 0, 12, 16]",128
"[1, 5, 5, 9]",0,"[0, 0, 16, 16]",256
"[8, 7, 12, 11]",6,"[4, 0, 6, 2]",4
"[1, 4, 5, 8]",0,"[0, 0, 16, 16]",256
"[8, 4, 12, 8]",6,"[4, 0, 6, 2]",4
"[11, 1, 15, 5]",1,"[8, 0, 16, 16]",128
"[8, 5, 12, 9]",6,"[4, 0, 6, 2]",4
"[8, 3, 12, 7]",1,"[4, 0, 12, 16]",128
"[12, 9, 16, 13]",6,"[8, 0, 10, 2]",4
"[8, 9, 12, 13]",6,"[4, 0, 6, 2]",4
"[4, 7, 8, 11]",2,"[4, 4, 12, 12]",64
"[1, 9, 5, 13]",0,"[0, 0, 16, 16]",256
"[12, 6, 16, 10]",6,"[8, 0, 10, 2]",4
"[5, 9, 9, 13]",2,"[4, 8, 12, 16]",64
"[3, 4, 7, 8]",0,"[0, 0, 16, 16]",256
"[2, 3, 6, 7]",0,"[0, 0, 16, 16]",256
"[2, 0, 6, 4]",0,"[0, 0, 16, 16]",256
"[9, 10, 13, 14]",2,"[8, 8, 16, 16]",64
"[4, 7, 8, 11]",2,"[4, 4, 12, 12]",64
