SRC_exhaustive Query: Medium,Depth,BBoxes,Data Size
"[13, 6, 16, 9]",6,"[8, 0, 10, 2]",4
"[12, 6, 15, 9]",4,"[12, 6, 16, 10]",16
"[0, 4, 3, 7]",0,"[0, 0, 16, 16]",256
"[8, 7, 11, 10]",6,"[8, 6, 10, 8]",4
"[6, 12, 9, 15]",4,"[6, 12, 10, 16]",16
"[13, 4, 16, 7]",3,"[12, 4, 16, 12]",32
"[7, 5, 10, 8]",6,"[6, 4, 8, 6]",4
"[9, 3, 12, 6]",1,"[4, 0, 12, 16]",128
"[8, 2, 11, 5]",1,"[4, 0, 12, 16]",128
"[4, 2, 7, 5]",1,"[4, 0, 12, 16]",128
"[12, 1, 15, 4]",1,"[8, 0, 16, 16]",128
"[9, 12, 12, 15]",6,"[4, 0, 6, 2]",4
"[4, 8, 7, 11]",2,"[4, 4, 12, 12]",64
"[11, 12, 14, 15]",6,"[10, 8, 12, 10]",4
"[9, 2, 12, 5]",1,"[4, 0, 12, 16]",128
"[4, 1, 7, 4]",1,"[4, 0, 12, 16]",128
"[11, 1, 14, 4]",1,"[8, 0, 16, 16]",128
"[13, 10, 16, 13]",6,"[8, 0, 10, 2]",4
"[5, 7, 8, 10]",2,"[4, 4, 12, 12]",64
"[8, 1, 11, 4]",1,"[4, 0, 12, 16]",128
"[5, 6, 8, 9]",2,"[4, 4, 12, 12]",64
"[5, 9, 8, 12]",6,"[4, 4, 6, 6]",4
"[10, 3, 13, 6]",1,"[8, 0, 16, 16]",128
"[8, 7, 11, 10]",6,"[8, 6, 10, 8]",4
"[7, 13, 10, 16]",6,"[0, 0, 2, 2]",4
"[8, 4, 11, 7]",3,"[8, 4, 12, 12]",32
"[0, 12, 3, 15]",0,"[0, 0, 16, 16]",256
"[8, 0, 11, 3]",1,"[4, 0, 12, 16]",128
"[1, 11, 4, 14]",0,"[0, 0, 16, 16]",256
"[13, 6, 16, 9]",6,"[8, 0, 10, 2]",4
"[11, 13, 14, 16]",6,"[0, 0, 2, 2]",4
"[12, 10, 15, 13]",4,"[12, 10, 16, 14]",16
"[10, 0, 13, 3]",1,"[8, 0, 16, 16]",128
"[9, 7, 12, 10]",6,"[4, 0, 6, 2]",4
"[13, 13, 16, 16]",6,"[0, 0, 2, 2]",4
"[5, 3, 8, 6]",1,"[4, 0, 12, 16]",128
"[11, 5, 14, 8]",6,"[10, 4, 12, 6]",4
"[11, 13, 14, 16]",6,"[0, 0, 2, 2]",4
"[1, 3, 4, 6]",0,"[0, 0, 16, 16]",256
"[9, 3, 12, 6]",1,"[4, 0, 12, 16]",128
"[3, 12, 6, 15]",0,"[0, 0, 16, 16]",256
"[2, 12, 5, 15]",0,"[0, 0, 16, 16]",256
"[8, 7, 11, 10]",6,"[8, 6, 10, 8]",4
"[1, 1, 4, 4]",0,"[0, 0, 16, 16]",256
"[5, 8, 8, 11]",2,"[4, 4, 12, 12]",64
"[7, 1, 10, 4]",1,"[4, 0, 12, 16]",128
"[4, 8, 7, 11]",2,"[4, 4, 12, 12]",64
"[4, 11, 7, 14]",2,"[4, 8, 12, 16]",64
"[1, 8, 4, 11]",0,"[0, 0, 16, 16]",256
"[5, 13, 8, 16]",6,"[0, 0, 2, 2]",4
"[8, 3, 11, 6]",1,"[4, 0, 12, 16]",128
"[12, 9, 15, 12]",6,"[8, 4, 10, 6]",4
"[8, 9, 11, 12]",6,"[4, 4, 6, 6]",4
"[4, 7, 7, 10]",2,"[4, 4, 12, 12]",64
"[1, 9, 4, 12]",0,"[0, 0, 16, 16]",256
"[12, 6, 15, 9]",4,"[12, 6, 16, 10]",16
"[5, 9, 8, 12]",6,"[4, 4, 6, 6]",4
"[3, 4, 6, 7]",0,"[0, 0, 16, 16]",256
"[2, 3, 5, 6]",0,"[0, 0, 16, 16]",256
"[13, 2, 16, 5]",1,"[8, 0, 16, 16]",128
"[0, 9, 3, 12]",0,"[0, 0, 16, 16]",256
"[10, 4, 13, 7]",3,"[10, 4, 14, 12]",32
"[7, 1, 10, 4]",1,"[4, 0, 12, 16]",128
"[1, 10, 4, 13]",0,"[0, 0, 16, 16]",256
"[12, 2, 15, 5]",1,"[8, 0, 16, 16]",128
"[2, 0, 5, 3]",0,"[0, 0, 16, 16]",256
"[13, 1, 16, 4]",1,"[8, 0, 16, 16]",128
"[11, 13, 14, 16]",6,"[0, 0, 2, 2]",4
"[8, 10, 11, 13]",4,"[8, 10, 12, 14]",16
"[6, 13, 9, 16]",6,"[0, 0, 2, 2]",4
"[11, 8, 14, 11]",6,"[10, 4, 12, 6]",4
"[4, 8, 7, 11]",2,"[4, 4, 12, 12]",64
"[12, 3, 15, 6]",1,"[8, 0, 16, 16]",128
"[13, 3, 16, 6]",1,"[8, 0, 16, 16]",128
"[10, 9, 13, 12]",6,"[8, 4, 10, 6]",4
"[13, 6, 16, 9]",6,"[8, 0, 10, 2]",4
"[9, 4, 12, 7]",3,"[8, 4, 12, 12]",32
