BRC Query: Small,Points,# Of Points
"[27, 12, 30, 15]","[(27, 12), (27, 13), (27, 14), (27, 15), (28, 12), (28, 13), (29, 12), (29, 13), (28, 14), (28, 15), (29, 14), (29, 15), (30, 12), (30, 13), (30, 14), (30, 15)]",16
"[24, 28, 27, 31]","[(24, 28), (24, 29), (25, 28), (25, 29), (24, 30), (24, 31), (25, 30), (25, 31), (26, 28), (26, 29), (27, 28), (27, 29), (26, 30), (26, 31), (27, 30), (27, 31)]",16
"[13, 1, 16, 4]","[(13, 1), (13, 2), (13, 3), (14, 1), (15, 1), (14, 2), (14, 3), (15, 2), (15, 3), (13, 4), (14, 4), (15, 4), (16, 1), (16, 2), (16, 3), (16, 4)]",16
"[8, 16, 11, 19]","[(8, 16), (8, 17), (9, 16), (9, 17), (8, 18), (8, 19), (9, 18), (9, 19), (10, 16), (10, 17), (11, 16), (11, 17), (10, 18), (10, 19), (11, 18), (11, 19)]",16
"[15, 12, 18, 15]","[(15, 12), (15, 13), (15, 14), (15, 15), (16, 12), (16, 13), (17, 12), (17, 13), (16, 14), (16, 15), (17, 14), (17, 15), (18, 12), (18, 13), (18, 14), (18, 15)]",16
"[29, 25, 32, 28]","[(29, 25), (29, 26), (29, 27), (30, 25), (31, 25), (30, 26), (30, 27), (31, 26), (31, 27), (29, 28), (30, 28), (31, 28)]",12
"[26, 9, 29, 12]","[(26, 9), (27, 9), (26, 10), (26, 11), (27, 10), (27, 11), (26, 12), (27, 12), (28, 9), (29, 9), (28, 10), (28, 11), (29, 10), (29, 11), (28, 12), (29, 12)]",16
"[15, 11, 18, 14]","[(15, 11), (15, 12), (15, 13), (15, 14), (16, 11), (17, 11), (18, 11), (16, 12), (16, 13), (17, 12), (17, 13), (16, 14), (17, 14), (18, 12), (18, 13), (18, 14)]",16
"[18, 28, 21, 31]","[(18, 28), (18, 29), (19, 28), (19, 29), (18, 30), (18, 31), (19, 30), (19, 31), (20, 28), (20, 29), (21, 28), (21, 29), (20, 30), (20, 31), (21, 30), (21, 31)]",16
"[29, 6, 32, 9]","[(29, 6), (29, 7), (30, 6), (30, 7), (31, 6), (31, 7), (29, 8), (29, 9), (30, 8), (30, 9), (31, 8), (31, 9)]",12
"[16, 4, 19, 7]","[(16, 4), (16, 5), (17, 4), (17, 5), (16, 6), (16, 7), (17, 6), (17, 7), (18, 4), (18, 5), (19, 4), (19, 5), (18, 6), (18, 7), (19, 6), (19, 7)]",16
"[9, 4, 12, 7]","[(9, 4), (9, 5), (9, 6), (9, 7), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (10, 7), (11, 6), (11, 7), (12, 4), (12, 5), (12, 6), (12, 7)]",16
"[24, 3, 27, 6]","[(24, 3), (25, 3), (26, 3), (27, 3), (24, 4), (24, 5), (25, 4), (25, 5), (24, 6), (25, 6), (26, 4), (26, 5), (27, 4), (27, 5), (26, 6), (27, 6)]",16
"[19, 25, 22, 28]","[(19, 25), (19, 26), (19, 27), (19, 28), (20, 25), (21, 25), (20, 26), (20, 27), (21, 26), (21, 27), (22, 25), (22, 26), (22, 27), (20, 28), (21, 28), (22, 28)]",16
"[8, 29, 11, 32]","[(8, 29), (9, 29), (8, 30), (8, 31), (9, 30), (9, 31), (10, 29), (11, 29), (10, 30), (10, 31), (11, 30), (11, 31)]",12
"[17, 22, 20, 25]","[(17, 22), (17, 23), (18, 22), (18, 23), (19, 22), (19, 23), (20, 22), (20, 23), (17, 24), (17, 25), (18, 24), (18, 25), (19, 24), (19, 25), (20, 24), (20, 25)]",16
"[25, 19, 28, 22]","[(25, 19), (26, 19), (27, 19), (25, 20), (25, 21), (25, 22), (26, 20), (26, 21), (27, 20), (27, 21), (26, 22), (27, 22), (28, 19), (28, 20), (28, 21), (28, 22)]",16
"[28, 4, 31, 7]","[(28, 4), (28, 5), (29, 4), (29, 5), (28, 6), (28, 7), (29, 6), (29, 7), (30, 4), (30, 5), (31, 4), (31, 5), (30, 6), (30, 7), (31, 6), (31, 7)]",16
"[9, 3, 12, 6]","[(9, 3), (10, 3), (11, 3), (9, 4), (9, 5), (9, 6), (10, 4), (10, 5), (11, 4), (11, 5), (10, 6), (11, 6), (12, 3), (12, 4), (12, 5), (12, 6)]",16
