BRC Query: Small,Points,# Of Points
"[12, 13, 13, 14]","[(12, 13), (13, 13), (12, 14), (13, 14)]",4
"[1, 8, 2, 9]","[(1, 8), (1, 9), (2, 8), (2, 9)]",4
"[15, 12, 16, 13]","[(15, 12), (15, 13)]",2
"[9, 15, 10, 16]","[(9, 15), (10, 15)]",2
"[11, 6, 12, 7]","[(11, 6), (11, 7), (12, 6), (12, 7)]",4
"[4, 9, 5, 10]","[(4, 9), (5, 9), (4, 10), (5, 10)]",4
"[4, 3, 5, 4]","[(4, 3), (5, 3), (4, 4), (5, 4)]",4
"[8, 4, 9, 5]","[(8, 4), (8, 5), (9, 4), (9, 5)]",4
"[9, 3, 10, 4]","[(9, 3), (10, 3), (9, 4), (10, 4)]",4
"[2, 10, 3, 11]","[(2, 10), (2, 11), (3, 10), (3, 11)]",4
