BRC Query,Num Of Points
"[[(12, 13), [13, 14]]]",4
"[[(1, 2), [8, 9]]]",4
"[[(15, 16), [12, 13]]]",2
"[[(9, 10), [15, 16]]]",2
"[[(11, 12), [6, 7]]]",4
"[[(4, 5), [9, 10]]]",4
"[[(4, 5), [3, 4]]]",4
"[[(8, 9), [4, 5]]]",4
"[[(9, 10), [3, 4]]]",4
"[[(2, 3), [10, 11]]]",4
"[[(15, 16), [3, 4]]]",2
"[[(11, 12), [13, 14]]]",4
"[[(10, 11), [6, 7]]]",4
"[[(15, 16), [14, 15]]]",2
"[[(8, 9), [1, 2]]]",4
"[[(0, 1), [2, 3]]]",4
"[[(12, 13), [0, 1]]]",4
"[[(15, 16), [10, 11]]]",2
"[[(7, 8), [10, 11]]]",4
"[[(2, 3), [6, 7]]]",4
"[[(7, 8), [7, 8]]]",4
"[[(4, 5), [14, 15]]]",4
"[[(2, 3), [2, 3]]]",4
"[[(10, 11), [15, 16]]]",2
"[[(3, 4), [9, 10]]]",4
"[[(9, 10), [3, 4]]]",4
"[[(10, 11), [6, 7]]]",4
"[[(9, 10), [14, 15]]]",4
"[[(2, 3), [12, 13]]]",4
"[[(10, 11), [7, 8]]]",4
"[[(9, 10), [5, 6]]]",4
"[[(6, 7), [5, 6]]]",4
"[[(1, 2), [8, 9]]]",4
"[[(15, 16), [2, 3]]]",2
"[[(2, 3), [4, 5]]]",4
"[[(4, 5), [1, 2]]]",4
"[[(2, 3), [12, 13]]]",4
"[[(8, 9), [7, 8]]]",4
"[[(6, 7), [13, 14]]]",4
"[[(8, 9), [14, 15]]]",4
"[[(15, 16), [11, 12]]]",2
"[[(2, 3), [10, 11]]]",4
"[[(3, 4), [15, 16]]]",2
"[[(10, 11), [6, 7]]]",4
"[[(7, 8), [0, 1]]]",4
"[[(8, 9), [3, 4]]]",4
"[[(7, 8), [11, 12]]]",4
"[[(5, 6), [10, 11]]]",4
"[[(13, 14), [1, 2]]]",4
"[[(3, 4), [4, 5]]]",4
"[[(7, 8), [1, 2]]]",4
"[[(2, 3), [0, 1]]]",4
"[[(3, 4), [6, 7]]]",4
"[[(3, 4), [12, 13]]]",4
"[[(2, 3), [11, 12]]]",4
"[[(3, 4), [1, 2]]]",4
"[[(0, 1), [6, 7]]]",4
"[[(5, 6), [3, 4]]]",4
"[[(15, 16), [6, 7]]]",2
"[[(1, 2), [0, 1]]]",4
"[[(13, 14), [3, 4]]]",4
"[[(8, 9), [2, 3]]]",4
"[[(7, 8), [2, 3]]]",4
"[[(9, 10), [11, 12]]]",4
"[[(13, 14), [5, 6]]]",4
"[[(1, 2), [14, 15]]]",4
"[[(1, 2), [3, 4]]]",4
"[[(12, 13), [6, 7]]]",4
"[[(8, 9), [11, 12]]]",4
"[[(15, 16), [5, 6]]]",2
"[[(6, 7), [1, 2]]]",4
"[[(5, 6), [5, 6]]]",4
"[[(10, 11), [8, 9]]]",4
"[[(3, 4), [14, 15]]]",4
"[[(5, 6), [0, 1]]]",4
"[[(15, 16), [13, 14]]]",2
"[[(9, 10), [11, 12]]]",4
"[[(12, 13), [8, 9]]]",4
"[[(4, 5), [0, 1]]]",4
"[[(14, 15), [2, 3]]]",4
"[[(10, 11), [1, 2]]]",4
"[[(8, 9), [4, 5]]]",4
"[[(7, 8), [15, 16]]]",2
"[[(11, 12), [9, 10]]]",4
"[[(11, 12), [4, 5]]]",4
"[[(9, 10), [12, 13]]]",4
"[[(13, 14), [2, 3]]]",4
"[[(0, 1), [6, 7]]]",4
"[[(10, 11), [5, 6]]]",4
"[[(7, 8), [7, 8]]]",4
"[[(14, 15), [12, 13]]]",4
"[[(13, 14), [1, 2]]]",4
"[[(12, 13), [13, 14]]]",4
"[[(1, 2), [5, 6]]]",4
"[[(14, 15), [2, 3]]]",4
"[[(8, 9), [5, 6]]]",4
"[[(14, 15), [15, 16]]]",2
"[[(0, 1), [1, 2]]]",4
"[[(15, 16), [10, 11]]]",2
"[[(9, 10), [14, 15]]]",4
