Split Node: 0 = 7, Level: 0, BBOX: [(0, 15), (0, 15)]
Split Node: 1 = 7, Level: 1, BBOX: [[0, 7], (0, 15)]
Split Node: 0 = 3, Level: 2, BBOX: [[0, 7], [0, 7]]
Split Node: 1 = 3, Level: 3, BBOX: [[0, 3], [0, 7]]
Split Node: 0 = 1, Level: 4, BBOX: [[0, 3], [0, 3]]
Split Node: 1 = 0, Level: 5, BBOX: [[0, 1], [0, 3]]
Split Node: 1 = 1, Level: 5, BBOX: [[1, 3], [0, 3]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [0, 1]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [1, 3]]
Split Node: 0 = 1, Level: 4, BBOX: [[0, 3], [3, 7]]
Split Node: 1 = 4, Level: 5, BBOX: [[0, 1], [3, 7]]
[(0, 3)]
Split Node: 0 = 0, Level: 6, BBOX: [[0, 1], [5, 7]]
Split Node: 1 = 4, Level: 5, BBOX: [[1, 3], [3, 7]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [3, 4]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [5, 7]]
Split Node: 1 = 3, Level: 3, BBOX: [[3, 7], [0, 7]]
Split Node: 0 = 4, Level: 4, BBOX: [[3, 7], [0, 3]]
Split Node: 1 = 0, Level: 5, BBOX: [[3, 4], [0, 3]]
Split Node: 1 = 1, Level: 5, BBOX: [[5, 7], [0, 3]]
Split Node: 0 = 4, Level: 6, BBOX: [[5, 7], [0, 1]]
Split Node: 0 = 5, Level: 6, BBOX: [[5, 7], [1, 3]]
Split Node: 1 = 1, Level: 7, BBOX: [[5, 5], [1, 3]]
Split Node: 1 = 1, Level: 7, BBOX: [[5, 7], [1, 3]]
Split Node: 0 = 4, Level: 4, BBOX: [[3, 7], [3, 7]]
Split Node: 1 = 4, Level: 5, BBOX: [[3, 4], [3, 7]]
[(3, 3)]
Split Node: 0 = 3, Level: 6, BBOX: [[3, 4], [5, 7]]
Split Node: 1 = 4, Level: 5, BBOX: [[5, 7], [3, 7]]
Split Node: 0 = 4, Level: 6, BBOX: [[5, 7], [3, 4]]
Split Node: 0 = 5, Level: 6, BBOX: [[5, 7], [5, 7]]
Split Node: 1 = 4, Level: 7, BBOX: [[5, 5], [5, 7]]
Split Node: 1 = 5, Level: 7, BBOX: [[5, 7], [5, 7]]
Split Node: 0 = 5, Level: 8, BBOX: [[5, 7], [5, 5]]
Split Node: 0 = 5, Level: 8, BBOX: [[5, 7], [5, 7]]
Split Node: 0 = 3, Level: 2, BBOX: [[0, 7], [8, 15]]
Split Node: 1 = 11, Level: 3, BBOX: [[0, 3], [8, 15]]
Split Node: 0 = 1, Level: 4, BBOX: [[0, 3], [8, 11]]
Split Node: 1 = 8, Level: 5, BBOX: [[0, 1], [8, 11]]
[(0, 7)]
Split Node: 0 = 0, Level: 6, BBOX: [[0, 1], [9, 11]]
Split Node: 1 = 8, Level: 5, BBOX: [[1, 3], [8, 11]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [8, 8]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [9, 11]]
Split Node: 0 = 1, Level: 4, BBOX: [[0, 3], [11, 15]]
Split Node: 1 = 12, Level: 5, BBOX: [[0, 1], [11, 15]]
[(0, 11)]
Split Node: 0 = 0, Level: 6, BBOX: [[0, 1], [13, 15]]
Split Node: 1 = 13, Level: 5, BBOX: [[1, 3], [11, 15]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [11, 13]]
Split Node: 0 = 1, Level: 6, BBOX: [[1, 3], [13, 15]]
Split Node: 1 = 11, Level: 3, BBOX: [[3, 7], [8, 15]]
Split Node: 0 = 4, Level: 4, BBOX: [[3, 7], [8, 11]]
Split Node: 1 = 8, Level: 5, BBOX: [[3, 4], [8, 11]]
[(3, 7)]
Split Node: 0 = 3, Level: 6, BBOX: [[3, 4], [9, 11]]
Split Node: 1 = 8, Level: 5, BBOX: [[5, 7], [8, 11]]
Split Node: 0 = 4, Level: 6, BBOX: [[5, 7], [8, 8]]
Split Node: 0 = 5, Level: 6, BBOX: [[5, 7], [9, 11]]
Split Node: 1 = 8, Level: 7, BBOX: [[5, 5], [9, 11]]
Split Node: 1 = 9, Level: 7, BBOX: [[5, 7], [9, 11]]
Split Node: 0 = 5, Level: 8, BBOX: [[5, 7], [9, 9]]
Split Node: 0 = 5, Level: 8, BBOX: [[5, 7], [9, 11]]
Split Node: 0 = 4, Level: 4, BBOX: [[3, 7], [11, 15]]
Split Node: 1 = 12, Level: 5, BBOX: [[3, 4], [11, 15]]
[(3, 11)]
Split Node: 0 = 3, Level: 6, BBOX: [[3, 4], [13, 15]]
Split Node: 1 = 13, Level: 5, BBOX: [[5, 7], [11, 15]]
Split Node: 0 = 5, Level: 6, BBOX: [[5, 7], [11, 13]]
Split Node: 1 = 11, Level: 7, BBOX: [[5, 5], [11, 13]]
Split Node: 1 = 11, Level: 7, BBOX: [[5, 7], [11, 13]]
Split Node: 0 = 5, Level: 6, BBOX: [[5, 7], [13, 15]]
Split Node: 1 = 13, Level: 7, BBOX: [[5, 5], [13, 15]]
Split Node: 1 = 14, Level: 7, BBOX: [[5, 7], [13, 15]]
Split Node: 0 = 5, Level: 8, BBOX: [[5, 7], [13, 14]]
Split Node: 0 = 5, Level: 8, BBOX: [[5, 7], [14, 15]]
Split Node: 1 = 7, Level: 1, BBOX: [[8, 15], (0, 15)]
Split Node: 0 = 11, Level: 2, BBOX: [[8, 15], [0, 7]]
Split Node: 1 = 3, Level: 3, BBOX: [[8, 11], [0, 7]]
Split Node: 0 = 8, Level: 4, BBOX: [[8, 11], [0, 3]]
Split Node: 1 = 0, Level: 5, BBOX: [[8, 8], [0, 3]]
Split Node: 1 = 1, Level: 5, BBOX: [[9, 11], [0, 3]]
Split Node: 0 = 8, Level: 6, BBOX: [[9, 11], [0, 1]]
Split Node: 0 = 9, Level: 6, BBOX: [[9, 11], [1, 3]]
Split Node: 1 = 1, Level: 7, BBOX: [[9, 9], [1, 3]]
Split Node: 1 = 1, Level: 7, BBOX: [[9, 11], [1, 3]]
Split Node: 0 = 8, Level: 4, BBOX: [[8, 11], [3, 7]]
Split Node: 1 = 4, Level: 5, BBOX: [[8, 8], [3, 7]]
[(7, 3)]
Split Node: 0 = 7, Level: 6, BBOX: [[8, 8], [5, 7]]
Split Node: 1 = 4, Level: 5, BBOX: [[9, 11], [3, 7]]
Split Node: 0 = 8, Level: 6, BBOX: [[9, 11], [3, 4]]
Split Node: 0 = 9, Level: 6, BBOX: [[9, 11], [5, 7]]
Split Node: 1 = 4, Level: 7, BBOX: [[9, 9], [5, 7]]
Split Node: 1 = 5, Level: 7, BBOX: [[9, 11], [5, 7]]
Split Node: 0 = 9, Level: 8, BBOX: [[9, 11], [5, 5]]
Split Node: 0 = 9, Level: 8, BBOX: [[9, 11], [5, 7]]
Split Node: 1 = 3, Level: 3, BBOX: [[11, 15], [0, 7]]
Split Node: 0 = 13, Level: 4, BBOX: [[11, 15], [0, 3]]
