BRC Query,Num Of Points
"[[(210096, 256711), [405503, 219328]]]",0
"[[(228617, 275232), [29342, 75957]]]",0
"[[(143863, 190478), [276172, 219328]]]",0
"[[(262883, 309498), [220419, 219328]]]",0
"[[(419053, 465668), [167140, 213755]]]",0
"[[(257991, 304606), [195837, 219328]]]",0
"[[(313977, 360592), [122643, 169258]]]",0
"[[(272718, 319333), [81136, 127751]]]",0
"[[(155881, 202496), [81384, 127999]]]",0
"[[(404376, 450991), [57835, 104450]]]",0
"[[(332320, 378935), [427234, 219328]]]",0
"[[(139454, 186069), [287333, 219328]]]",0
"[[(377830, 424445), [323687, 219328]]]",0
"[[(85167, 131782), [170723, 217338]]]",0
"[[(59897, 106512), [390759, 219328]]]",0
"[[(46779, 93394), [366721, 219328]]]",0
"[[(181235, 227850), [255655, 219328]]]",0
"[[(301620, 348235), [60913, 107528]]]",0
"[[(193605, 240220), [235748, 219328]]]",0
"[[(173895, 220510), [328397, 219328]]]",0
"[[(343883, 390498), [115322, 161937]]]",0
"[[(297798, 344413), [258207, 219328]]]",0
"[[(240215, 286830), [281456, 219328]]]",0
"[[(144689, 191304), [40769, 87384]]]",1
"[[(295793, 342408), [15478, 62093]]]",2
"[[(57018, 103633), [385449, 219328]]]",0
"[[(217215, 263830), [380494, 219328]]]",0
"[[(419708, 466323), [358421, 219328]]]",0
"[[(335936, 382551), [9783, 55331]]]",6
"[[(328927, 375542), [266893, 219328]]]",0
"[[(182775, 229390), [135996, 182611]]]",0
"[[(390993, 437608), [178617, 219328]]]",0
"[[(377028, 423643), [41138, 87753]]]",0
"[[(108291, 154906), [305656, 219328]]]",0
"[[(124353, 170968), [133220, 179835]]]",0
"[[(82825, 129440), [292800, 219328]]]",0
"[[(242982, 289597), [55940, 102555]]]",0
"[[(50293, 96908), [175917, 219328]]]",0
"[[(274424, 321039), [264644, 219328]]]",0
"[[(65294, 111909), [166161, 212776]]]",0
"[[(297139, 343754), [160732, 207347]]]",0
"[[(378558, 425173), [73553, 120168]]]",0
"[[(295133, 341748), [182574, 219328]]]",0
"[[(291381, 337996), [114653, 161268]]]",0
"[[(427247, 473862), [324359, 219328]]]",0
"[[(295023, 341638), [316197, 219328]]]",0
"[[(158932, 205547), [241419, 219328]]]",0
"[[(56158, 102773), [320743, 219328]]]",0
"[[(426464, 473079), [209916, 219328]]]",0
"[[(174340, 220955), [309923, 219328]]]",0
"[[(135050, 181665), [160333, 206948]]]",0
"[[(104517, 151132), [107412, 154027]]]",0
"[[(106017, 152632), [25404, 72019]]]",3
"[[(329386, 376001), [352395, 219328]]]",0
"[[(144461, 191076), [257956, 219328]]]",0
"[[(44337, 90952), [55210, 101825]]]",3
"[[(363963, 410578), [405319, 219328]]]",0
"[[(76392, 123007), [86524, 133139]]]",0
"[[(28376, 74991), [50190, 96805]]]",3
"[[(374763, 421378), [291547, 219328]]]",0
"[[(366467, 413082), [213268, 219328]]]",0
"[[(377888, 424503), [283144, 219328]]]",0
"[[(152628, 199243), [281685, 219328]]]",0
"[[(131587, 178202), [120944, 167559]]]",0
"[[(364357, 410972), [317342, 219328]]]",0
"[[(228015, 274630), [312044, 219328]]]",0
"[[(152406, 199021), [244341, 219328]]]",0
"[[(266410, 313025), [354275, 219328]]]",0
"[[(344288, 390903), [375236, 219328]]]",0
"[[(424047, 470662), [195480, 219328]]]",0
"[[(51304, 97919), [178156, 219328]]]",0
"[[(329391, 376006), [68593, 115208]]]",0
"[[(263153, 309768), [315913, 219328]]]",0
"[[(338495, 385110), [183895, 219328]]]",0
"[[(107930, 154545), [135537, 182152]]]",0
"[[(16615, 63230), [391628, 219328]]]",0
"[[(150218, 196833), [69529, 116144]]]",0
"[[(377914, 424529), [123701, 170316]]]",0
"[[(203183, 249798), [424707, 219328]]]",0
"[[(97498, 144113), [182461, 219328]]]",0
"[[(231532, 278147), [40723, 87338]]]",0
"[[(60864, 107479), [418696, 219328]]]",0
"[[(84850, 131465), [373897, 219328]]]",0
"[[(122817, 169432), [31832, 78447]]]",1
"[[(308988, 355603), [340623, 219328]]]",0
"[[(288190, 334805), [323827, 219328]]]",0
"[[(364941, 411556), [46912, 93527]]]",0
"[[(22113, 68728), [73361, 119976]]]",1
"[[(341039, 387654), [106956, 153571]]]",0
"[[(326012, 372627), [310082, 219328]]]",0
"[[(70871, 117486), [213223, 219328]]]",0
"[[(56106, 102721), [202176, 219328]]]",0
"[[(68958, 115573), [27196, 73811]]]",8
"[[(325575, 372190), [19460, 66075]]]",0
"[[(110138, 156753), [105095, 151710]]]",0
"[[(384615, 431230), [73073, 119688]]]",0
"[[(259373, 305988), [118519, 165134]]]",0
"[[(389355, 435970), [40143, 86758]]]",0
"[[(364290, 410905), [20061, 66676]]]",0
"[[(293453, 340068), [231263, 219328]]]",0
"[[(333490, 380105), [61332, 107947]]]",0
"[[(144389, 191004), [44819, 91434]]]",1
"[[(123895, 170510), [45850, 92465]]]",0
"[[(347292, 393907), [165959, 212574]]]",0
"[[(191771, 238386), [236742, 219328]]]",0
"[[(102655, 149270), [40120, 86735]]]",1
"[[(272167, 318782), [253028, 219328]]]",0
"[[(28762, 75377), [320846, 219328]]]",0
"[[(61028, 107643), [374763, 219328]]]",0
"[[(213258, 259873), [112636, 159251]]]",0
"[[(144501, 191116), [196103, 219328]]]",0
"[[(391685, 438300), [254645, 219328]]]",0
"[[(306839, 353454), [96944, 143559]]]",0
"[[(373911, 420526), [360774, 219328]]]",0
"[[(114764, 161379), [410428, 219328]]]",0
"[[(38552, 85167), [421595, 219328]]]",0
"[[(362641, 409256), [91063, 137678]]]",0
"[[(93027, 139642), [187587, 219328]]]",0
"[[(285713, 332328), [139549, 186164]]]",0
"[[(69570, 116185), [321007, 219328]]]",0
"[[(240016, 286631), [357086, 219328]]]",0
"[[(99772, 146387), [15039, 61654]]]",17
"[[(255384, 301999), [365304, 219328]]]",0
"[[(223025, 269640), [306495, 219328]]]",0
"[[(274769, 321384), [171404, 218019]]]",0
"[[(348345, 394960), [195367, 219328]]]",0
"[[(211877, 258492), [352897, 219328]]]",0
"[[(139677, 186292), [88549, 135164]]]",0
"[[(302032, 348647), [370307, 219328]]]",0
"[[(14637, 61252), [248216, 219328]]]",0
"[[(396915, 443530), [49574, 96189]]]",0
"[[(184234, 230849), [395574, 219328]]]",0
"[[(32075, 78690), [293497, 219328]]]",0
"[[(155380, 201995), [78810, 125425]]]",0
"[[(134014, 180629), [407711, 219328]]]",0
"[[(260733, 307348), [192784, 219328]]]",0
"[[(328003, 374618), [159047, 205662]]]",0
"[[(361174, 407789), [196441, 219328]]]",0
"[[(317592, 364207), [340383, 219328]]]",0
"[[(333740, 380355), [77503, 124118]]]",0
"[[(383307, 429922), [170802, 217417]]]",0
"[[(211549, 258164), [400539, 219328]]]",0
"[[(225391, 272006), [349340, 219328]]]",0
"[[(50439, 97054), [9783, 55531]]]",207
"[[(319846, 366461), [108942, 155557]]]",0
"[[(374375, 420990), [183439, 219328]]]",0
"[[(92044, 138659), [133639, 180254]]]",0
"[[(125084, 171699), [342297, 219328]]]",0
"[[(243068, 289683), [206637, 219328]]]",2
"[[(380544, 427159), [361369, 219328]]]",0
"[[(305991, 352606), [225385, 219328]]]",0
"[[(24655, 71270), [219020, 219328]]]",0
"[[(376077, 422692), [305635, 219328]]]",0
"[[(227388, 274003), [412964, 219328]]]",0
"[[(355298, 401913), [379840, 219328]]]",0
"[[(32643, 79258), [94978, 141593]]]",1
"[[(241609, 288224), [41611, 88226]]]",0
"[[(144026, 190641), [375913, 219328]]]",0
"[[(90790, 137405), [242140, 219328]]]",0
"[[(284717, 331332), [263584, 219328]]]",0
"[[(302454, 349069), [324775, 219328]]]",0
"[[(404208, 450823), [9783, 54768]]]",1
"[[(28517, 75132), [267420, 219328]]]",0
"[[(179005, 225620), [171725, 218340]]]",0
"[[(252902, 299517), [34256, 80871]]]",0
"[[(225768, 272383), [106683, 153298]]]",0
"[[(295721, 342336), [340037, 219328]]]",0
"[[(51877, 98492), [388516, 219328]]]",0
"[[(76547, 123162), [15839, 62454]]]",27
"[[(218784, 265399), [363854, 219328]]]",0
"[[(226999, 273614), [173884, 219328]]]",2
"[[(9895, 56510), [120065, 166680]]]",0
"[[(15609, 62224), [384201, 219328]]]",0
"[[(403825, 450440), [9783, 55968]]]",1
"[[(362410, 409025), [285122, 219328]]]",0
"[[(329013, 375628), [59384, 105999]]]",0
"[[(107972, 154587), [70456, 117071]]]",0
"[[(327072, 373687), [348519, 219328]]]",0
"[[(112196, 158811), [166670, 213285]]]",0
"[[(154908, 201523), [369110, 219328]]]",0
"[[(103653, 150268), [60640, 107255]]]",0
"[[(257471, 304086), [216100, 219328]]]",0
"[[(337180, 383795), [50765, 97380]]]",0
"[[(19570, 66185), [152146, 198761]]]",0
"[[(245608, 292223), [427455, 219328]]]",0
"[[(423532, 470147), [68818, 115433]]]",0
"[[(142590, 189205), [78067, 124682]]]",0
"[[(350774, 397389), [281200, 219328]]]",0
"[[(349314, 395929), [346251, 219328]]]",0
"[[(190072, 236687), [68467, 115082]]]",0
"[[(89088, 135703), [154083, 200698]]]",0
"[[(17855, 64470), [30293, 76908]]]",5
"[[(29436, 76051), [115981, 162596]]]",0
"[[(365155, 411770), [144258, 190873]]]",0
"[[(300856, 347471), [173117, 219328]]]",0
"[[(200475, 247090), [305633, 219328]]]",0
"[[(30139, 76754), [400879, 219328]]]",0
"[[(375813, 422428), [326672, 219328]]]",0
"[[(351715, 398330), [267369, 219328]]]",0
"[[(381597, 428212), [345833, 219328]]]",0
"[[(248589, 295204), [343735, 219328]]]",0
"[[(236413, 283028), [203387, 219328]]]",2
"[[(290146, 336761), [101591, 148206]]]",0
"[[(117087, 163702), [205028, 219328]]]",0
"[[(315939, 362554), [160703, 207318]]]",0
"[[(12781, 59396), [80708, 127323]]]",0
"[[(87296, 133911), [150394, 197009]]]",0
"[[(182919, 229534), [185070, 219328]]]",0
"[[(422106, 468721), [200636, 219328]]]",0
