SRC_exhaustive Query: Small,Depth,BBoxes,Data Size
"[54, 24, 60, 30]",6,"[52, 24, 60, 32]",64
"[48, 56, 54, 62]",6,"[48, 56, 56, 64]",64
"[26, 2, 32, 8]",6,"[24, 0, 32, 8]",64
"[16, 32, 22, 38]",6,"[16, 32, 24, 40]",64
"[31, 25, 37, 31]",4,"[24, 16, 40, 32]",256
"[58, 50, 64, 56]",6,"[56, 48, 64, 56]",64
"[53, 19, 59, 25]",5,"[52, 16, 60, 32]",128
"[30, 22, 36, 28]",6,"[28, 20, 36, 28]",64
"[37, 57, 43, 63]",6,"[36, 56, 44, 64]",64
"[58, 13, 64, 19]",6,"[56, 12, 64, 20]",64
"[32, 8, 38, 14]",6,"[32, 8, 40, 16]",64
"[18, 8, 24, 14]",6,"[16, 8, 24, 16]",64
"[48, 6, 54, 12]",6,"[48, 4, 56, 12]",64
"[39, 51, 45, 57]",4,"[32, 48, 48, 64]",256
"[16, 58, 22, 64]",6,"[16, 56, 24, 64]",64
"[34, 45, 40, 51]",6,"[32, 44, 40, 52]",64
"[51, 38, 57, 44]",4,"[48, 32, 64, 48]",256
"[57, 9, 63, 15]",6,"[56, 8, 64, 16]",64
"[19, 6, 25, 12]",4,"[16, 0, 32, 16]",256
"[46, 4, 52, 10]",6,"[44, 4, 52, 12]",64
"[57, 54, 63, 60]",6,"[56, 52, 64, 60]",64
"[43, 21, 49, 27]",4,"[40, 16, 56, 32]",256
"[30, 35, 36, 41]",5,"[28, 32, 36, 48]",128
"[6, 22, 12, 28]",6,"[4, 20, 12, 28]",64
"[27, 20, 33, 26]",4,"[24, 16, 40, 32]",256
"[39, 40, 45, 46]",4,"[32, 32, 48, 48]",256
"[58, 13, 64, 19]",6,"[56, 12, 64, 20]",64
"[35, 30, 41, 36]",4,"[32, 24, 48, 40]",256
"[28, 55, 34, 61]",5,"[28, 48, 36, 64]",128
"[33, 16, 39, 22]",6,"[32, 16, 40, 24]",64
"[3, 51, 9, 57]",4,"[0, 48, 16, 64]",256
"[58, 35, 64, 41]",5,"[56, 32, 64, 48]",128
"[58, 0, 64, 6]",6,"[56, 0, 64, 8]",64
"[5, 46, 11, 52]",6,"[4, 44, 12, 52]",64
"[53, 25, 59, 31]",6,"[52, 24, 60, 32]",64
"[45, 52, 51, 58]",6,"[44, 52, 52, 60]",64
"[50, 42, 56, 48]",6,"[48, 40, 56, 48]",64
"[40, 0, 46, 6]",6,"[40, 0, 48, 8]",64
"[39, 31, 45, 37]",4,"[32, 24, 48, 40]",256
"[52, 55, 58, 61]",5,"[52, 48, 60, 64]",128
"[21, 15, 27, 21]",5,"[20, 8, 28, 24]",128
"[46, 20, 52, 26]",6,"[44, 20, 52, 28]",64
"[45, 55, 51, 61]",5,"[44, 48, 52, 64]",128
"[4, 12, 10, 18]",6,"[4, 12, 12, 20]",64
"[58, 36, 64, 42]",6,"[56, 36, 64, 44]",64
"[14, 15, 20, 21]",5,"[12, 8, 20, 24]",128
"[51, 9, 57, 15]",4,"[48, 0, 64, 16]",256
"[51, 34, 57, 40]",4,"[48, 24, 64, 40]",256
"[28, 5, 34, 11]",6,"[28, 4, 36, 12]",64
"[5, 20, 11, 26]",6,"[4, 20, 12, 28]",64
"[56, 32, 62, 38]",6,"[56, 32, 64, 40]",64
"[31, 6, 37, 12]",4,"[24, 0, 40, 16]",256
"[19, 35, 25, 41]",4,"[16, 32, 32, 48]",256
"[18, 45, 24, 51]",6,"[16, 44, 24, 52]",64
"[7, 35, 13, 41]",4,"[0, 32, 16, 48]",256
"[21, 52, 27, 58]",6,"[20, 52, 28, 60]",64
"[34, 13, 40, 19]",6,"[32, 12, 40, 20]",64
"[51, 38, 57, 44]",4,"[48, 32, 64, 48]",256
"[35, 37, 41, 43]",4,"[32, 32, 48, 48]",256
"[18, 28, 24, 34]",6,"[16, 28, 24, 36]",64
"[5, 38, 11, 44]",6,"[4, 36, 12, 44]",64
"[51, 24, 57, 30]",4,"[48, 16, 64, 32]",256
"[20, 36, 26, 42]",6,"[20, 36, 28, 44]",64
"[15, 18, 21, 24]",4,"[8, 8, 24, 24]",256
"[11, 12, 17, 18]",4,"[8, 8, 24, 24]",256
"[52, 11, 58, 17]",5,"[52, 8, 60, 24]",128
"[2, 39, 8, 45]",5,"[0, 32, 8, 48]",128
"[42, 16, 48, 22]",6,"[40, 16, 48, 24]",64
"[30, 4, 36, 10]",6,"[28, 4, 36, 12]",64
"[5, 43, 11, 49]",5,"[4, 40, 12, 56]",128
"[48, 8, 54, 14]",6,"[48, 8, 56, 16]",64
"[56, 9, 62, 15]",6,"[56, 8, 64, 16]",64
"[2, 53, 8, 59]",6,"[0, 52, 8, 60]",64
"[5, 57, 11, 63]",6,"[4, 56, 12, 64]",64
"[44, 53, 50, 59]",6,"[44, 52, 52, 60]",64
"[34, 43, 40, 49]",5,"[32, 40, 40, 56]",128
"[25, 53, 31, 59]",6,"[24, 52, 32, 60]",64
"[45, 33, 51, 39]",6,"[44, 32, 52, 40]",64
"[17, 33, 23, 39]",6,"[16, 32, 24, 40]",64
"[51, 15, 57, 21]",4,"[48, 8, 64, 24]",256
"[54, 13, 60, 19]",6,"[52, 12, 60, 20]",64
"[57, 43, 63, 49]",5,"[56, 40, 64, 56]",128
"[37, 52, 43, 58]",6,"[36, 52, 44, 60]",64
"[26, 37, 32, 43]",6,"[24, 36, 32, 44]",64
"[17, 28, 23, 34]",6,"[16, 28, 24, 36]",64
"[31, 42, 37, 48]",4,"[24, 32, 40, 48]",256
"[41, 44, 47, 50]",6,"[40, 44, 48, 52]",64
"[58, 50, 64, 56]",6,"[56, 48, 64, 56]",64
"[22, 5, 28, 11]",6,"[20, 4, 28, 12]",64
"[20, 39, 26, 45]",5,"[20, 32, 28, 48]",128
"[7, 31, 13, 37]",4,"[0, 24, 16, 40]",256
"[37, 40, 43, 46]",6,"[36, 40, 44, 48]",64
"[21, 54, 27, 60]",6,"[20, 52, 28, 60]",64
"[12, 15, 18, 21]",5,"[12, 8, 20, 24]",128
"[1, 46, 7, 52]",6,"[0, 44, 8, 52]",64
"[17, 7, 23, 13]",5,"[16, 0, 24, 16]",128
"[45, 14, 51, 20]",6,"[44, 12, 52, 20]",64
"[23, 50, 29, 56]",4,"[16, 40, 32, 56]",256
"[10, 21, 16, 27]",6,"[8, 20, 16, 28]",64
"[27, 52, 33, 58]",4,"[24, 48, 40, 64]",256
"[3, 6, 9, 12]",4,"[0, 0, 16, 16]",256
"[50, 9, 56, 15]",6,"[48, 8, 56, 16]",64
"[54, 44, 60, 50]",6,"[52, 44, 60, 52]",64
"[14, 2, 20, 8]",6,"[12, 0, 20, 8]",64
"[52, 36, 58, 42]",6,"[52, 36, 60, 44]",64
"[40, 58, 46, 64]",6,"[40, 56, 48, 64]",64
"[34, 38, 40, 44]",6,"[32, 36, 40, 44]",64
"[43, 4, 49, 10]",4,"[40, 0, 56, 16]",256
"[1, 7, 7, 13]",5,"[0, 0, 8, 16]",128
"[40, 12, 46, 18]",6,"[40, 12, 48, 20]",64
"[38, 53, 44, 59]",6,"[36, 52, 44, 60]",64
"[36, 7, 42, 13]",5,"[36, 0, 44, 16]",128
"[25, 5, 31, 11]",6,"[24, 4, 32, 12]",64
"[23, 53, 29, 59]",4,"[16, 48, 32, 64]",256
"[7, 2, 13, 8]",4,"[0, 0, 16, 16]",256
"[38, 1, 44, 7]",6,"[36, 0, 44, 8]",64
"[12, 11, 18, 17]",5,"[12, 8, 20, 24]",128
"[45, 7, 51, 13]",5,"[44, 0, 52, 16]",128
"[30, 13, 36, 19]",6,"[28, 12, 36, 20]",64
"[46, 51, 52, 57]",5,"[44, 48, 52, 64]",128
"[3, 43, 9, 49]",4,"[0, 40, 16, 56]",256
"[1, 34, 7, 40]",6,"[0, 32, 8, 40]",64
"[27, 39, 33, 45]",4,"[24, 32, 40, 48]",256
"[6, 53, 12, 59]",6,"[4, 52, 12, 60]",64
"[16, 4, 22, 10]",6,"[16, 4, 24, 12]",64
"[14, 4, 20, 10]",6,"[12, 4, 20, 12]",64
"[41, 19, 47, 25]",5,"[40, 16, 48, 32]",128
"[22, 27, 28, 33]",5,"[20, 24, 28, 40]",128
"[11, 3, 17, 9]",4,"[8, 0, 24, 16]",256
"[32, 29, 38, 35]",6,"[32, 28, 40, 36]",64
"[2, 38, 8, 44]",6,"[0, 36, 8, 44]",64
"[6, 44, 12, 50]",6,"[4, 44, 12, 52]",64
"[25, 12, 31, 18]",6,"[24, 12, 32, 20]",64
"[16, 22, 22, 28]",6,"[16, 20, 24, 28]",64
"[57, 46, 63, 52]",6,"[56, 44, 64, 52]",64
"[30, 53, 36, 59]",6,"[28, 52, 36, 60]",64
"[57, 58, 63, 64]",6,"[56, 56, 64, 64]",64
"[36, 10, 42, 16]",6,"[36, 8, 44, 16]",64
"[44, 43, 50, 49]",5,"[44, 40, 52, 56]",128
"[13, 49, 19, 55]",6,"[12, 48, 20, 56]",64
"[3, 50, 9, 56]",4,"[0, 40, 16, 56]",256
"[43, 10, 49, 16]",4,"[40, 0, 56, 16]",256
"[54, 10, 60, 16]",6,"[52, 8, 60, 16]",64
"[21, 33, 27, 39]",6,"[20, 32, 28, 40]",64
"[16, 7, 22, 13]",5,"[16, 0, 24, 16]",128
"[38, 58, 44, 64]",6,"[36, 56, 44, 64]",64
"[28, 42, 34, 48]",6,"[28, 40, 36, 48]",64
"[11, 0, 17, 6]",4,"[8, 0, 24, 16]",256
"[30, 43, 36, 49]",5,"[28, 40, 36, 56]",128
"[26, 57, 32, 63]",6,"[24, 56, 32, 64]",64
"[36, 55, 42, 61]",5,"[36, 48, 44, 64]",128
"[32, 58, 38, 64]",6,"[32, 56, 40, 64]",64
"[19, 41, 25, 47]",4,"[16, 32, 32, 48]",256
"[22, 24, 28, 30]",6,"[20, 24, 28, 32]",64
"[53, 42, 59, 48]",6,"[52, 40, 60, 48]",64
"[16, 9, 22, 15]",6,"[16, 8, 24, 16]",64
"[35, 44, 41, 50]",4,"[32, 40, 48, 56]",256
"[0, 29, 6, 35]",6,"[0, 28, 8, 36]",64
"[47, 5, 53, 11]",4,"[40, 0, 56, 16]",256
"[21, 47, 27, 53]",5,"[20, 40, 28, 56]",128
"[2, 34, 8, 40]",6,"[0, 32, 8, 40]",64
"[17, 8, 23, 14]",6,"[16, 8, 24, 16]",64
"[15, 48, 21, 54]",4,"[8, 40, 24, 56]",256
"[30, 22, 36, 28]",6,"[28, 20, 36, 28]",64
"[39, 18, 45, 24]",4,"[32, 8, 48, 24]",256
"[43, 22, 49, 28]",4,"[40, 16, 56, 32]",256
"[37, 57, 43, 63]",6,"[36, 56, 44, 64]",64
"[40, 54, 46, 60]",6,"[40, 52, 48, 60]",64
"[39, 8, 45, 14]",4,"[32, 0, 48, 16]",256
"[45, 19, 51, 25]",5,"[44, 16, 52, 32]",128
"[24, 47, 30, 53]",5,"[24, 40, 32, 56]",128
"[26, 53, 32, 59]",6,"[24, 52, 32, 60]",64
"[41, 5, 47, 11]",6,"[40, 4, 48, 12]",64
"[0, 38, 6, 44]",6,"[0, 36, 8, 44]",64
"[12, 44, 18, 50]",6,"[12, 44, 20, 52]",64
"[21, 10, 27, 16]",6,"[20, 8, 28, 16]",64
"[15, 14, 21, 20]",4,"[8, 8, 24, 24]",256
"[40, 28, 46, 34]",6,"[40, 28, 48, 36]",64
"[24, 45, 30, 51]",6,"[24, 44, 32, 52]",64
"[56, 43, 62, 49]",5,"[56, 40, 64, 56]",128
"[36, 55, 42, 61]",5,"[36, 48, 44, 64]",128
"[26, 2, 32, 8]",6,"[24, 0, 32, 8]",64
"[25, 55, 31, 61]",5,"[24, 48, 32, 64]",128
"[44, 36, 50, 42]",6,"[44, 36, 52, 44]",64
"[26, 49, 32, 55]",6,"[24, 48, 32, 56]",64
"[42, 45, 48, 51]",6,"[40, 44, 48, 52]",64
"[2, 10, 8, 16]",6,"[0, 8, 8, 16]",64
"[28, 4, 34, 10]",6,"[28, 4, 36, 12]",64
"[16, 44, 22, 50]",6,"[16, 44, 24, 52]",64
"[10, 28, 16, 34]",6,"[8, 28, 16, 36]",64
"[33, 56, 39, 62]",6,"[32, 56, 40, 64]",64
"[31, 58, 37, 64]",4,"[24, 48, 40, 64]",256
"[35, 38, 41, 44]",4,"[32, 32, 48, 48]",256
"[48, 0, 54, 6]",6,"[48, 0, 56, 8]",64
"[56, 2, 62, 8]",6,"[56, 0, 64, 8]",64
"[31, 20, 37, 26]",4,"[24, 16, 40, 32]",256
"[19, 53, 25, 59]",4,"[16, 48, 32, 64]",256
"[29, 3, 35, 9]",5,"[28, 0, 36, 16]",128
"[51, 52, 57, 58]",4,"[48, 48, 64, 64]",256
"[56, 51, 62, 57]",5,"[56, 48, 64, 64]",128
"[26, 12, 32, 18]",6,"[24, 12, 32, 20]",64
"[35, 40, 41, 46]",4,"[32, 32, 48, 48]",256
"[5, 53, 11, 59]",6,"[4, 52, 12, 60]",64
"[46, 8, 52, 14]",6,"[44, 8, 52, 16]",64
"[0, 25, 6, 31]",6,"[0, 24, 8, 32]",64
"[43, 26, 49, 32]",4,"[40, 16, 56, 32]",256
"[20, 0, 26, 6]",6,"[20, 0, 28, 8]",64
"[13, 0, 19, 6]",6,"[12, 0, 20, 8]",64
"[45, 48, 51, 54]",6,"[44, 48, 52, 56]",64
"[0, 52, 6, 58]",6,"[0, 52, 8, 60]",64
"[43, 33, 49, 39]",4,"[40, 24, 56, 40]",256
"[39, 6, 45, 12]",4,"[32, 0, 48, 16]",256
"[12, 7, 18, 13]",5,"[12, 0, 20, 16]",128
"[38, 41, 44, 47]",6,"[36, 40, 44, 48]",64
"[12, 55, 18, 61]",5,"[12, 48, 20, 64]",128
"[19, 17, 25, 23]",4,"[16, 8, 32, 24]",256
"[44, 11, 50, 17]",5,"[44, 8, 52, 24]",128
"[6, 30, 12, 36]",6,"[4, 28, 12, 36]",64
"[54, 25, 60, 31]",6,"[52, 24, 60, 32]",64
"[40, 5, 46, 11]",6,"[40, 4, 48, 12]",64
"[1, 17, 7, 23]",6,"[0, 16, 8, 24]",64
"[58, 28, 64, 34]",6,"[56, 28, 64, 36]",64
"[51, 50, 57, 56]",4,"[48, 40, 64, 56]",256
"[7, 55, 13, 61]",4,"[0, 48, 16, 64]",256
"[16, 8, 22, 14]",6,"[16, 8, 24, 16]",64
"[41, 33, 47, 39]",6,"[40, 32, 48, 40]",64
"[52, 41, 58, 47]",6,"[52, 40, 60, 48]",64
"[41, 22, 47, 28]",6,"[40, 20, 48, 28]",64
"[7, 55, 13, 61]",4,"[0, 48, 16, 64]",256
"[9, 17, 15, 23]",6,"[8, 16, 16, 24]",64
"[54, 1, 60, 7]",6,"[52, 0, 60, 8]",64
"[2, 2, 8, 8]",6,"[0, 0, 8, 8]",64
"[13, 43, 19, 49]",5,"[12, 40, 20, 56]",128
"[16, 35, 22, 41]",5,"[16, 32, 24, 48]",128
"[20, 23, 26, 29]",5,"[20, 16, 28, 32]",128
"[36, 58, 42, 64]",6,"[36, 56, 44, 64]",64
"[54, 2, 60, 8]",6,"[52, 0, 60, 8]",64
"[54, 47, 60, 53]",5,"[52, 40, 60, 56]",128
"[44, 38, 50, 44]",6,"[44, 36, 52, 44]",64
"[41, 31, 47, 37]",5,"[40, 24, 48, 40]",128
"[45, 41, 51, 47]",6,"[44, 40, 52, 48]",64
"[57, 29, 63, 35]",6,"[56, 28, 64, 36]",64
"[40, 27, 46, 33]",5,"[40, 24, 48, 40]",128
"[23, 55, 29, 61]",4,"[16, 48, 32, 64]",256
